,Unique City,No. Charging Stations
408,"BOONE, IA",1
409,"BOONE, NC",6
410,"BOONSBORO, MD",1
411,"BOONTON, NJ",1
412,"BOONVILLE, MO",1
413,"BOSSIER CITY, LA",4
414,"BOSTON, MA",123
415,"BOTHELL, WA",15
416,"BOTTINEAU, ND",2
417,"BOULDER CITY, NV",1
418,"BOULDER, CO",89
419,"BOULDER, UT",1
420,"BOUND BROOK, NJ",1
421,"BOURBONNAIS, IL",1
422,"BOWIE, MD",10
423,"BOWLING GREEN, KY",8
424,"BOWLING GREEN, MO",1
425,"BOWLING GREEN, OH",10
426,"BOWMANSVILLE, PA",1
427,"BOX ELDER, SD",1
428,"BOYCE, VA",2
429,"BOYERTOWN, PA",1
430,"BOYNE FALLS, MI",1
431,"BOYNTON BEACH, FL",8
432,"BOZEMAN, MT",7
433,"BRACEVILLE, IL",1
434,"BRADDOCK, PA",1
435,"BRADENTON BEACH, FL",3
436,"BRADENTON, FL",13
437,"BRADLEY, CA",1
438,"BRADLEY, IL",1
439,"BRAINERD, MN",1
440,"BRAINTREE, MA",8
441,"BRAMBLETON, VA",2
442,"BRANDON, FL",2
443,"BRANDON, MS",2
444,"BRANDON, SD",1
445,"BRANSON, MO",9
446,"BRANTLEY, AL",1
447,"BRASELTON, GA",5
448,"BRAZORIA, TX",2
449,"BREA, CA",11
450,"BREAUX BRIDGE, LA",1
451,"BRECKENRIDGE, CO",13
452,"BREMEN, GA",1
453,"BREMERTON, WA",9
454,"BRENHAM, TX",2
455,"BRENTWOOD, CA",8
456,"BRENTWOOD, MD",1
457,"BRENTWOOD, MO",1
458,"BRENTWOOD, NY",2
459,"BRENTWOOD, TN",15
460,"BREVARD, NC",3
461,"BREWER, ME",2
462,"BREWSTER, NY",2
463,"BRIAN HEAD, UT",1
464,"BRIDGEHAMPTON, NY",1
465,"BRIDGEPORT, CA",2
466,"BRIDGEPORT, CT",6
467,"BRIDGEPORT, NY",2
468,"BRIDGEPORT, WA",1
469,"BRIDGEPORT, WV",1
470,"BRIDGEVILLE, DE",1
471,"BRIDGEVILLE, PA",1
472,"BRIDGEWATER, MA",1
473,"BRIDGEWATER, VA",1
474,"BRIGANTINE, NJ",1
475,"BRIGHAM CITY, UT",3
476,"BRIGHTON, CO",7
477,"BRIGHTON, MI",1
478,"BRISBANE, CA",3
479,"BRISTOL, CT",1
480,"BRISTOL, TN",3
481,"BRISTOL, VA",1
482,"BRISTOL, WI",1
483,"BRISTOW, OK",2
484,"BROADVIEW HEIGHTS, OH",1
485,"BROCKPORT, NY",2
486,"BROCKTON, MA",5
487,"BROKEN ARROW, OK",5
488,"BROKEN BOW, NE",1
489,"BRONX, NY",13
490,"BRONXVILLE, NY",2
491,"BROOKFIELD, WI",4
492,"BROOKHAVEN, GA",5
493,"BROOKHAVEN, MS",1
494,"BROOKHAVEN, PA",1
495,"BROOKINGS, OR",1
496,"BROOKINGS, SD",1
497,"BROOKLYN PARK, MD",1
498,"BROOKLYN PARK, MN",8
499,"BROOKLYN, NY",74
500,"BROOKSHIRE, TX",1
501,"BROOKSVILLE, FL",1
502,"BROOMFIELD, CO",14
503,"BROWNTOWN, WI",1
504,"BRUNSWICK, GA",11
505,"BRUSH, CO",1
506,"BRYAN, TX",7
507,"BRYN MAWR, PA",1
508,"BUCKEYE, AZ",3
509,"BUCYRUS, OH",2
510,"BUDD LAKE, NJ",1
511,"BUELLTON, CA",3
512,"BUENA PARK, CA",12
513,"BUENA VISTA, CO",3
514,"BUFFALO GROVE, IL",7
515,"BUFFALO, NY",63
516,"BUFFALO, WY",1
517,"BUFORD, GA",7
518,"BUNKER HILL, IN",1
519,"BURBANK, CA",38
520,"BURDETT, NY",3
521,"BURGAW, NC",1
522,"BURIEN, WA",4
523,"BURKBURNETT, TX",1
524,"BURLESON, TX",4
525,"BURLEY, ID",2
526,"BURLINGAME, CA",8
527,"BURLINGTON, IA",4
528,"BURLINGTON, KS",1
529,"BURLINGTON, NC",6
530,"BURLINGTON, VT",19
531,"BURLINGTON, WA",4
532,"BURLINGTON, WI",2
533,"BURNS HARBOR, IN",1
534,"BURNS, OR",2
535,"BURNS, TN",1
536,"BURNSVILLE, MN",7
537,"BURR RIDGE, IL",1
538,"BURTON, MI",1
539,"BUSHNELL, FL",1
540,"BUTLER, NJ",1
541,"BUTTE, MT",2
542,"BUTTONWILLOW, CA",2
543,"BUXTON, NC",1
544,"BUZZARDS BAY, MA",1
545,"BYERS, CO",1
546,"BYHALIA, MS",1
547,"BYRON CENTER, MI",2
548,"BYRON, CA",1
549,"BYRON, MN",1
550,"CABAZON, CA",10
551,"CADILLAC, MI",3
552,"CALABASAS, CA",5
553,"CALABASH, NC",1
554,"CALAIS, ME",1
555,"CALDWELL, ID",2
556,"CALEDONIA, MI",1
557,"CALHOUN, GA",1
558,"CALIFORNIA CITY, CA",1
559,"CALIFORNIA, MD",3
560,"CALIMESA, CA",3
561,"CALISTOGA, CA",21
562,"CALUMET CITY, IL",1
563,"CALUMET, OK",2
564,"CALVERTON, NY",1
565,"CAMANO, WA",1
566,"CAMARILLO, CA",15
567,"CAMAS, WA",1
568,"CAMBRIA, CA",6
