,Unique City,No. Charging Stations
2515,"MERCED, CA",7
2516,"MERCER ISLAND, WA",14
2517,"MERCER, PA",2
2518,"MERCERSBURG, PA",2
2519,"MERIDEN, CT",6
2520,"MERIDIAN, ID",6
2521,"MERIDIAN, MS",4
2522,"MERRIAM, KS",4
2523,"MERRILL, WI",1
2524,"MERRILLVILLE, IN",4
2525,"MESA, AZ",21
2526,"MESQUITE, NV",3
2527,"MESQUITE, TX",7
2528,"METAIRIE, LA",9
2529,"METTER, GA",2
2530,"METUCHEN, NJ",2
2531,"MIAMI BEACH, FL",28
2532,"MIAMI LAKES, FL",1
2533,"MIAMI SPRINGS, FL",1
2534,"MIAMI, FL",147
2535,"MIAMI, OK",2
2536,"MICHIGAN CITY, IN",2
2537,"MIDDLE RIVER, MD",3
2538,"MIDDLEBURG HEIGHTS, OH",2
2539,"MIDDLEBURG, FL",1
2540,"MIDDLEBURG, VA",2
2541,"MIDDLEBURY, IN",1
2542,"MIDDLETON, WI",5
2543,"MIDDLETOWN, CA",1
2544,"MIDDLETOWN, CT",10
2545,"MIDDLETOWN, DE",1
2546,"MIDDLETOWN, MD",1
2547,"MIDDLETOWN, NY",4
2548,"MIDDLETOWN, PA",3
2549,"MIDDLETOWN, PA",3
2550,"MIDDLEVILLE, MI",1
2551,"MIDLAND, TX",4
2552,"MIDLOTHIAN, IL",1
2553,"MIDPINES, CA",1
2554,"MIDVALE, UT",1
2555,"MIDWAY, KY",1
2556,"MIDWEST CITY, OK",5
2557,"MILAN, OH",2
2558,"MILES CITY, MT",1
2559,"MILFORD, CT",10
2560,"MILFORD, DE",1
2561,"MILFORD, OH",2
2562,"MILFORD, PA",1
2563,"MILL CITY, OR",1
2564,"MILL VALLEY, CA",6
2565,"MILLBRAE, CA",9
2566,"MILLBROOK, NY",1
2567,"MILLEDGEVILLE, GA",3
2568,"MILLERSBURG, MI",1
2569,"MILLERSBURG, OH",2
2570,"MILLERSVILLE, PA",1
2571,"MILLPORT, NY",1
2572,"MILLS RIVER, NC",1
2573,"MILLSBORO, DE",1
2574,"MILPITAS, CA",25
2575,"MILTON, DE",1
2576,"MILTON, NY",1
2577,"MILTON, WI",1
2578,"MILWAUKEE, WI",34
2579,"MILWAUKIE, OR",5
2580,"MINDEN, NE",1
2581,"MINDEN, NV",4
2582,"MINER, MO",1
2583,"MINNEAPOLIS, MN",61
2584,"MINNETONKA, MN",3
2585,"MINOOKA, IL",1
2586,"MINOT, ND",3
2587,"MIRAMAR BEACH, FL",4
2588,"MIRAMAR, FL",4
2589,"MISHAWAKA, IN",6
2590,"MISSION HILLS, CA",5
2591,"MISSION VIEJO, CA",7
2592,"MISSION WOODS, KS",2
2593,"MISSION, KS",7
2594,"MISSOULA, MT",7
2595,"MITCHELL, IN",1
2596,"MITCHELL, OR",2
2597,"MITCHELL, SD",1
2598,"MOAB, UT",9
2599,"MOBERLY, MO",2
2600,"MOBILE, AL",24
2601,"MODESTO, CA",11
2602,"MOJAVE, CA",5
2603,"MOKENA, IL",1
2604,"MOLALLA, OR",1
2605,"MOLINE, IL",2
2606,"MONAHANS, TX",1
2607,"MONCURE, NC",1
2608,"MONMOUTH JUNCTION, NJ",1
2609,"MONMOUTH, IL",1
2610,"MONMOUTH, OR",1
2611,"MONON, IN",1
2612,"MONONA, WI",2
2613,"MONROE, GA",1
2614,"MONROE, LA",3
2615,"MONROE, MI",3
2616,"MONROE, NC",2
2617,"MONROE, OH",2
2618,"MONROE, WA",3
2619,"MONROEVILLE, PA",6
2620,"MONROVIA, CA",5
2621,"MONROVIA, MD",2
2622,"MONSEY, NY",1
2623,"MONTAUK, NY",9
2624,"MONTCLAIR, CA",4
2625,"MONTCLAIR, VA",1
2626,"MONTE SERENO, CA",1
2627,"MONTE VISTA, CO",1
2628,"MONTEBELLO, CA",13
2629,"MONTEBELLO, NY",1
2630,"MONTECITO, CA",4
2631,"MONTEREY PARK, CA",4
2632,"MONTEREY, CA",23
2633,"MONTEVIDEO, MN",1
2634,"MONTGOMERY, AL",9
2635,"MONTGOMERY, IL",1
2636,"MONTGOMERY, TX",2
2637,"MONTGOMERYVILLE, PA",1
2638,"MONTICELLO, FL",4
2639,"MONTICELLO, IL",1
2640,"MONTICELLO, IN",1
2641,"MONTICELLO, KY",1
2642,"MONTICELLO, MN",2
2643,"MONTICELLO, NY",4
2644,"MONTICELLO, UT",1
2645,"MONTOUR FALLS, NY",2
2646,"MONTPELIER, VT",12
2647,"MONTREAT, NC",1
2648,"MONTROSE, CO",6
2649,"MONTVALE, NJ",1
2650,"MONUMENT, CO",1
2651,"MOORE, OK",4
2652,"MOOREFIELD, WV",3
2653,"MOORESVILLE, NC",5
2654,"MOORHEAD, MN",1
2655,"MOORPARK, CA",4
2656,"MOOSE LAKE, MN",2
2657,"MOOSIC, PA",2
2658,"MORA, MN",1
2659,"MORAGA, CA",3
2660,"MORAVIA, IA",1
2661,"MOREHEAD, KY",2
2662,"MORENO VALLEY, CA",14
2663,"MORGAN HILL, CA",10
2664,"MORGANTOWN, WV",6
2665,"MORRIS PLAINS, NJ",1
2666,"MORRIS, MN",3
2667,"MORRISON, CO",2
2668,"MORRISON, TN",1
2669,"MORRISTOWN, NJ",1
2670,"MORRISTOWN, TN",1
2671,"MORRISVILLE, NC",2
2672,"MORRISVILLE, NY",1
2673,"MORRO BAY, CA",2
2674,"MORROW, GA",5
2675,"MORTON, MN",2
2676,"MOSCOW, ID",1
2677,"MOSES LAKE, WA",5
2678,"MOSIER, OR",1
2679,"MOSS BEACH, CA",1
2680,"MOSSYROCK, WA",1
2681,"MOTLEY, MN",1
2682,"MOUNT AIRY, MD",2
2683,"MOUNT DORA, FL",1
2684,"MOUNT HOLLY, NC",1
2685,"MOUNT JULIET, TN",1
2686,"MOUNT KISCO, NY",1
2687,"MOUNT PLEASANT, IA",3
2688,"MOUNT PLEASANT, MI",3
2689,"MOUNT PLEASANT, SC",4
2690,"MOUNT PLEASANT, WI",1
2691,"MOUNT PROSPECT, IL",2
2692,"MOUNT RAINIER, MD",1
2693,"MOUNT SHASTA, CA",3
2694,"MOUNT VERNON, IA",1
2695,"MOUNT VERNON, IL",1
2696,"MOUNT VERNON, KY",1
2697,"MOUNT VERNON, MO",1
2698,"MOUNT VERNON, WA",4
2699,"MOUNTAIN HOME, ID",1
2700,"MOUNTAIN HOUSE, CA",1
2701,"MOUNTAIN VIEW, CA",42
2702,"MOUNTAIN VILLAGE, CO",4
2703,"MOUNTLAKE TERRACE, WA",1
2704,"MOUNTVILLE, PA",1
2705,"MUKILTEO, WA",3
2706,"MUKWONAGO, WI",1
2707,"MULLENS, WV",2
2708,"MUNCY, PA",2
2709,"MUNSTER, IN",1
2710,"MURDO, SD",1
2711,"MURFREESBORO, TN",17
2712,"MURPHY, NC",2
2713,"MURPHY, TX",1
2714,"MURPHYS, CA",3
2715,"MURRAY, KY",2
2716,"MURRAY, UT",10
2717,"MURRELLS INLET, SC",1
2718,"MURRIETA, CA",14
2719,"MURRYSVILLE, PA",1
2720,"MUSCATINE, IA",2
2721,"MUSKEGON, MI",7
2722,"MUSKOGEE, OK",4
2723,"MYERSTOWN, PA",1
2724,"MYRTLE BEACH, SC",17
2725,"MYRTLE CREEK, OR",2
2726,"MYSTIC, CT",3
2727,"NACOGDOCHES, TX",1
2728,"NAGS HEAD, NC",1
2729,"NAMPA, ID",5
2730,"NANUET, NY",3
2731,"NAPA, CA",55
2732,"NAPERVILLE, IL",17
2733,"NAPLES, FL",29
2734,"NAPOLEON, OH",1
2735,"NASHUA, NH",3
2736,"NASHVILLE, IN",2
2737,"NASHVILLE, NC",2
2738,"NASHVILLE, TN",96
2739,"NATCHEZ, MS",2
2740,"NATCHITOCHES, LA",2
2741,"NATIONAL CITY, CA",6
2742,"NAVARRE, FL",2
2743,"NAVASOTA, TX",2
2744,"NEAH BAY, WA",2
2745,"NEBRASKA CITY, NE",3
2746,"NEDERLAND, CO",1
2747,"NEEDLES, CA",2
2748,"NEENAH, WI",3
2749,"NEILLSVILLE, WI",1
2750,"NEOSHO, MO",1
2751,"NEPHI, UT",1
2752,"NEPTUNE BEACH, FL",1
2753,"NEPTUNE CITY, NJ",2
2754,"NESCONSET, NY",1
2755,"NEVADA, MO",1
2756,"NEW ALBANY, IN",3
2757,"NEW ALBANY, MS",2
2758,"NEW ALBANY, OH",5
2759,"NEW BEDFORD, MA",7
2760,"NEW BERLIN, WI",1
2761,"NEW BERN, NC",5
2762,"NEW BOSTON, OH",1
2763,"NEW BRAUNFELS, TX",5
2764,"NEW BRIGHTON, MN",2
2765,"NEW BRITAIN, CT",9
2766,"NEW BRUNSWICK, NJ",2
2767,"NEW BUFFALO, MI",1
2768,"NEW CARROLLTON, MD",2
2769,"NEW CASTLE, CO",3
2770,"NEW CASTLE, DE",4
2771,"NEW CASTLE, IN",1
2772,"NEW CASTLE, PA",1
2773,"NEW CITY, NY",1
2774,"NEW CONCORD, OH",1
2775,"NEW CUMBERLAND, PA",1
2776,"NEW HARMONY, UT",1
2777,"NEW HAVEN, CT",15
2778,"NEW KENT, VA",2
2779,"NEW LONDON, CT",2
2780,"NEW LONDON, WI",1
2781,"NEW MARKET, MD",1
2782,"NEW MARKET, VA",1
2783,"NEW ORLEANS, LA",18
2784,"NEW OXFORD, PA",2
2785,"NEW PORT RICHEY, FL",8
2786,"NEW PRAGUE, MN",1
2787,"NEW PROVIDENCE, NJ",2
2788,"NEW RIVER, AZ",1
2789,"NEW ROCHELLE, NY",5
2790,"NEW SMYRNA BEACH, FL",2
2791,"NEW ULM, MN",2
2792,"NEW YORK, NY",321
2793,"NEWARK, CA",11
2794,"NEWARK, DE",11
2795,"NEWARK, NJ",10
2796,"NEWARK, NY",3
2797,"NEWARK, OH",4
2798,"NEWAYGO, MI",1
2799,"NEWBERG, OR",7
2800,"NEWBURGH, IN",2
2801,"NEWBURYPORT, MA",4
2802,"NEWCASTLE, WA",1
2803,"NEWNAN, GA",8
2804,"NEWPORT BEACH, CA",46
2805,"NEWPORT NEWS, VA",17
2806,"NEWPORT, AR",1
2807,"NEWPORT, KY",2
2808,"NEWPORT, OR",6
2809,"NEWPORT, RI",9
2810,"NEWPORT, TN",1
2811,"NEWPORT, VT",2
2812,"NEWPORT, WA",1
2813,"NEWTON, KS",1
2814,"NEWTON, MA",9
2815,"NEWTON, NC",1
2816,"NEWTON, NJ",3
2817,"NEWVILLE, PA",1
2818,"NIAGARA FALLS, NY",7
2819,"NIANTIC, CT",2
2820,"NICASIO, CA",1
2821,"NICEVILLE, FL",2
2822,"NILES, IL",4
2823,"NILES, MI",3
2824,"NIWOT, CO",1
2825,"NOBLESVILLE, IN",2
2826,"NOKESVILLE, VA",1
2827,"NORCO, CA",2
2828,"NORCROSS, GA",4
2829,"NORFOLK, NE",1
2830,"NORFOLK, VA",24
2831,"NORMAL, IL",19
2832,"NORMAN, OK",14
2833,"NORRIDGE, IL",1
2834,"NORRISTOWN, PA",2
2835,"NORTH ADAMS, MA",1
2836,"NORTH AURORA, IL",5
2837,"NORTH BABYLON, NY",3
2838,"NORTH BEACH, MD",1
2839,"NORTH BEND, OR",4
2840,"NORTH BEND, WA",3
2841,"NORTH BETHESDA, MD",5
2842,"NORTH BRANCH, MI",1
2843,"NORTH CANTON, OH",7
2844,"NORTH CHARLESTON, SC",7
2845,"NORTH CONWAY, NH",4
2846,"NORTH CREEK, NY",4
2847,"NORTH EAST, MD",3
2848,"NORTH EDWARDS, CA",1
2849,"NORTH HILLS, NY",1
2850,"NORTH KANSAS CITY, MO",6
2851,"NORTH LAS VEGAS, NV",3
2852,"NORTH LITTLE ROCK, AR",6
2853,"NORTH LOGAN, UT",1
2854,"NORTH MANKATO, MN",2
2855,"NORTH MIAMI BEACH, FL",3
2856,"NORTH MIAMI, FL",5
2857,"NORTH MYRTLE BEACH, SC",2
2858,"NORTH OLMSTED, OH",1
2859,"NORTH PLAINFIELD, NJ",1
2860,"NORTH PLAINS, OR",1
2861,"NORTH PLATTE, NE",1
2862,"NORTH PORT, FL",1
2863,"NORTH RICHLAND HILLS, TX",2
2864,"NORTH SALT LAKE, UT",2
2865,"NORTH TONAWANDA, NY",1
2866,"NORTH WALES, PA",1
2867,"NORTH WILDWOOD, NJ",1
2868,"NORTHAMPTON, MA",13
2869,"NORTHBROOK, IL",12
2870,"NORTHFIELD, IL",2
2871,"NORTHFIELD, MN",4
2872,"NORTHGLENN, CO",1
2873,"NORTHLAKE, TX",1
2874,"NORTHPORT, MI",1
2875,"NORTHPORT, NY",1
2876,"NORTHVILLE, MI",2
2877,"NORTHWOOD, IA",2
2878,"NORTON SHORES, MI",1
2879,"NORWALK, CA",4
2880,"NORWALK, CT",10
2881,"NORWAY, MI",1
2882,"NORWICH, CT",6
2883,"NOTRE DAME, IN",1
2884,"NOVATO, CA",21
2885,"NOVI, MI",5
2886,"NYACK, NY",1
2887,"O'FALLON, IL",1
2888,"O'FALLON, MO",1
2889,"OACOMA, SD",1
2890,"OAK BROOK, IL",14
2891,"OAK CREEK, WI",5
2892,"OAK GLEN, CA",1
2893,"OAK GROVE, MO",1
2894,"OAK HARBOR, OH",1
2895,"OAK HARBOR, WA",3
2896,"OAK LAWN, IL",3
2897,"OAK PARK, CA",1
2898,"OAK PARK, IL",8
2899,"OAK RIDGE, TN",6
2900,"OAK VIEW, CA",1
2901,"OAKBROOK TERRACE, IL",2
2902,"OAKDALE, CA",2
2903,"OAKDALE, MN",3
2904,"OAKDALE, PA",1
2905,"OAKHURST, CA",6
2906,"OAKHURST, NJ",1
2907,"OAKLAND PARK, FL",1
2908,"OAKLAND, CA",59
2909,"OAKLAND, FL",3
2910,"OAKLAND, MD",2
2911,"OAKLAND, OR",1
2912,"OAKLEY, CA",1
2913,"OAKRIDGE, OR",1
2914,"OAKVILLE, CA",5
2915,"OAKWOOD, GA",1
2916,"OBERLIN, OH",2
2917,"OCALA, FL",6
2918,"OCCIDENTAL, CA",1
2919,"OCEAN CITY, MD",12
2920,"OCEAN CITY, NJ",2
2921,"OCEAN ISLE BEACH, NC",1
2922,"OCEAN SHORES, WA",1
2923,"OCEANSIDE, CA",8
2924,"OCEANSIDE, OR",1
2925,"OCOEE, FL",1
2926,"OCONOMOWOC, WI",1
2927,"OCONTO, WI",1
2928,"ODENTON, MD",3
2929,"OGALLALA, NE",4
2930,"OGDEN, UT",19
2931,"OGDENSBURG, NY",1
2932,"OIL CITY, PA",1
2933,"OJAI, CA",5
2934,"OKEECHOBEE, FL",5
2935,"OKEMOS, MI",5
2936,"OKLAHOMA CITY, OK",34
2937,"OLANCHA, CA",1
2938,"OLATHE, KS",24
2939,"OLD FORGE, NY",2
2940,"OLD FORT, NC",1
2941,"OLD WESTBURY, NY",1
2942,"OLDSMAR, FL",5
2943,"OLEAN, NY",4
2944,"OLIVE HILL, KY",1
2945,"OLIVIA, MN",1
2946,"OLNEY, MD",1
2947,"OLYMPIA, WA",26
2948,"OMAHA, NE",29
2949,"OMAK, WA",1
2950,"ONALASKA, WI",2
2951,"ONANCOCK, VA",1
2952,"ONAWAY, MI",1
2953,"ONEONTA, NY",5
2954,"ONTARIO, CA",30
2955,"ONTARIO, OR",1
2956,"OOLTEWAH, TN",4
2957,"OPELOUSAS, LA",1
2958,"ORADELL, NJ",1
2959,"ORANGE BEACH, AL",4
2960,"ORANGE COVE, CA",2
2961,"ORANGE PARK, FL",1
2962,"ORANGE, CA",34
2963,"ORANGEBURG, SC",1
2964,"ORD, NE",1
2965,"OREGON CITY, OR",7
2966,"OREGON, IL",1
2967,"OREM, UT",20
2968,"ORIENTAL, NC",2
2969,"ORLAND PARK, IL",8
2970,"ORLAND, CA",1
2971,"ORLANDO, FL",171
2972,"ORMOND BEACH, FL",5
2973,"ORO VALLEY, AZ",2
2974,"OROVADA, NV",1
2975,"OROVILLE, CA",4
2976,"OROVILLE, WA",2
2977,"ORRTANNA, PA",1
2978,"OSAGE BEACH, MO",2
2979,"OSHKOSH, WI",7
2980,"OSKALOOSA, IA",1
2981,"OSWEGO, IL",1
2982,"OSWEGO, NY",2
2983,"OURAY, CO",1
2984,"OVERLAND PARK, KS",59
2985,"OVID, CO",1
2986,"OVIEDO, FL",11
2987,"OWASSO, OK",3
2988,"OWATONNA, MN",5
2989,"OWINGS MILLS, MD",4
2990,"OXFORD, AL",3
2991,"OXFORD, GA",1
2992,"OXFORD, MD",1
2993,"OXFORD, MS",4
2994,"OXFORD, OH",2
2995,"OXFORD, PA",4
2996,"OXNARD, CA",29
2997,"OXON HILL, MD",4
2998,"OZARK, AR",1
2999,"OZARK, MO",2
3000,"OZONA, TX",2
3001,"PACHECO, CA",1
3002,"PACIFIC CITY, OR",1
3003,"PACIFIC GROVE, CA",3
3004,"PACIFICA, CA",4
3005,"PADUCAH, KY",3
3006,"PAGE, AZ",2
3007,"PAGELAND, SC",1
3008,"PAGOSA SPRINGS, CO",1
3009,"PAHOA, HI",1
3010,"PAINTED POST, NY",3
3011,"PALA, CA",1
3012,"PALATINE, IL",6
3013,"PALATKA, FL",1
3014,"PALERMO, CA",1
3015,"PALESTINE, TX",1
3016,"PALISADE, CO",1
3017,"PALISADES PARK, NJ",1
3018,"PALM BAY, FL",2
3019,"PALM BEACH GARDENS, FL",9
3020,"PALM BEACH, FL",2
3021,"PALM CITY, FL",1
3022,"PALM COAST, FL",4
3023,"PALM DESERT, CA",29
3024,"PALM HARBOR, FL",6
3025,"PALM SPRINGS, CA",40
3026,"PALMDALE, CA",19
3027,"PALMER, AK",1
3028,"PALMER, MA",2
3029,"PALMETTO BAY, FL",2
3030,"PALMETTO, FL",1
3031,"PALMETTO, GA",1
3032,"PALMYRA, PA",3
3033,"PALMYRA, VA",1
3034,"PALO ALTO, CA",72
3035,"PANACA, NV",1
3036,"PANAMA CITY BEACH, FL",6
3037,"PANAMA CITY, FL",5
3038,"PAOLI, OK",1
3039,"PAONIA, CO",3
3040,"PARACHUTE, CO",1
3041,"PARADISE VALLEY, AZ",2
3042,"PARADISE, NV",1
3043,"PARAMOUNT, CA",2
3044,"PARAMUS, NJ",10
3045,"PARIS, TN",2
3046,"PARK CITY, UT",15
3047,"PARK FOREST, IL",1
3048,"PARK RIDGE, IL",2
3049,"PARK RIDGE, NJ",3
3050,"PARKER, AZ",1
3051,"PARKER, CO",2
3052,"PARKERSBURG, WV",3
3053,"PARKVILLE, MD",1
3054,"PARLIER, CA",2
3055,"PARMA HEIGHTS, OH",1
3056,"PARMA, OH",1
3057,"PASADENA, CA",52
3058,"PASADENA, MD",2
3059,"PASADENA, TX",3
3060,"PASCAGOULA, MS",1
3061,"PASCO, WA",4
3062,"PATASKALA, OH",2
3063,"PATCHOGUE, NY",2
3064,"PATEROS, WA",1
3065,"PATTERSON, CA",4
3066,"PAUL SMITHS, NY",3
3067,"PAULS VALLEY, OK",1
3068,"PAULSBORO, NJ",1
3069,"PAWLEYS ISLAND, SC",2
3070,"PAWNEE, IL",1
3071,"PAWTUCKET, RI",2
3072,"PAYSON, AZ",2
3073,"PEABODY, MA",3
3074,"PEACHTREE CITY, GA",5
3075,"PEACHTREE CORNERS, GA",4
3076,"PEARISBURG, VA",1
3077,"PEARL CITY, HI",4
3078,"PEARL RIVER, NY",2
3079,"PEARL, MS",1
3080,"PEARLAND, TX",6
3081,"PECONIC, NY",2
3082,"PECOS, TX",3
3083,"PEEKSKILL, NY",2
3084,"PELLA, IA",1
3085,"PEMBROKE PINES, FL",7
3086,"PEMBROKE, NC",2
3087,"PENDLETON, OR",1
3088,"PENN YAN, NY",2
3089,"PENSACOLA, FL",4
3090,"PEORIA, AZ",7
3091,"PEORIA, IL",9
3092,"PEQUOT LAKES, MN",1
3093,"PERRIS, CA",3
3094,"PERRY, FL",3
3095,"PERRY, MI",1
3096,"PERRY, OK",1
3097,"PERRY, UT",1
3098,"PERRYSBURG, OH",2
3099,"PERRYTON, TX",1
3100,"PERTH AMBOY, NJ",1
3101,"PERU, IL",2
3102,"PETALUMA, CA",16
3103,"PETERSBURG, VA",2
3104,"PETOSKEY, MI",2
3105,"PEWAUKEE, WI",1
3106,"PFLUGERVILLE, TX",3
3107,"PHENIX CITY, AL",4
3108,"PHILADELPHIA, PA",60
3109,"PHILIPSBURG, MT",1
3110,"PHILIPSBURG, PA",1
3111,"PHILLIPS, WI",1
3112,"PHILO, CA",5
3113,"PHILOMATH, OR",1
3114,"PHOENIX, AZ",134
3115,"PHOENIXVILLE, PA",7
3116,"PICAYUNE, MS",1
3117,"PICO RIVERA, CA",2
3118,"PIEDMONT, CA",1
3119,"PIEDMONT, OK",1
3120,"PIEDMONT, SC",1
3121,"PIERMONT, NY",1
3122,"PIERRE, SD",1
3123,"PIGEON FORGE, TN",16
3124,"PIKESVILLE, MD",1
3125,"PIKEVILLE, KY",1
3126,"PINE BLUFF, AR",1
3127,"PINE CITY, MN",2
3128,"PINE RIVER, MN",1
3129,"PINECREST, FL",5
3130,"PINEDALE, WY",1
3131,"PINEHURST, NC",1
3132,"PINELLAS PARK, FL",3
3133,"PINEVILLE, LA",1
3134,"PINOLE, CA",1
3135,"PIPESTONE, MN",1
3136,"PISMO BEACH, CA",15
3137,"PITKIN, CO",2
3138,"PITTSBORO, NC",5
3139,"PITTSBURG, CA",8
3140,"PITTSBURG, KS",3
3141,"PITTSBURGH, PA",90
3142,"PITTSFIELD, IL",1
3143,"PITTSFIELD, MA",4
3144,"PLACENTIA, CA",6
3145,"PLACERVILLE, CA",14
3146,"PLAIN CITY, OH",2
3147,"PLAINFIELD, IN",1
3148,"PLAINVIEW, MN",1
3149,"PLAINVIEW, NY",2
3150,"PLANO, TX",40
3151,"PLANT CITY, FL",4
3152,"PLANTATION, FL",2
3153,"PLATTE CITY, MO",2
3154,"PLATTSBURGH, NY",11
3155,"PLATTSMOUTH, NE",1
3156,"PLEASANT GROVE, UT",1
3157,"PLEASANT HILL, CA",10
3158,"PLEASANT HILL, MO",1
3159,"PLEASANT HILLS, PA",1
3160,"PLEASANT PRAIRIE, WI",3
3161,"PLEASANTON, CA",45
3162,"PLEASANTVILLE, NY",1
3163,"PLOVER, WI",3
3164,"PLYMOUTH MEETING, PA",4
3165,"PLYMOUTH, CA",6
3166,"PLYMOUTH, IN",2
3167,"PLYMOUTH, MI",1
3168,"PLYMOUTH, NC",1
3169,"PLYMOUTH, WI",1
3170,"POCAHONTAS, AR",1
3171,"POCATELLO, ID",2
3172,"POINT ARENA, CA",2
3173,"POINT CLEAR, AL",2
3174,"POINT LOOKOUT, NY",1
3175,"POINT OF ROCKS, MD",1
3176,"POINT REYES STATION, CA",1
3177,"POLLOCK PINES, CA",2
3178,"POMONA, CA",8
3179,"POMPANO BEACH, FL",4
3180,"PONCA CITY, OK",2
3181,"PONCHA SPRINGS, CO",1
3182,"PONCHATOULA, LA",1
3183,"PONTIAC, IL",1
3184,"PONTIAC, MI",2
3185,"POOLER, GA",6
3186,"POOLESVILLE, MD",2
3187,"POPLAR BLUFF, MO",1
3188,"PORT ANGELES, WA",11
3189,"PORT ARANSAS, TX",3
3190,"PORT ARTHUR, TX",1
3191,"PORT CHARLOTTE, FL",3
3192,"PORT CHESTER, NY",2
3193,"PORT CLINTON, OH",2
3194,"PORT DEPOSIT, MD",1
3195,"PORT HUENEME, CA",5
3196,"PORT HURON, MI",2
3197,"PORT JEFFERSON STATION, NY",1
3198,"PORT JEFFERSON, NY",1
3199,"PORT JERVIS, NY",1
3200,"PORT LAVACA, TX",1
3201,"PORT ORANGE, FL",2
3202,"PORT ORCHARD, WA",3
3203,"PORT ORFORD, OR",2
3204,"PORT ST. LUCIE, FL",3
3205,"PORT TOWNSEND, WA",6
3206,"PORTAGE, IN",3
3207,"PORTAGE, MI",3
3208,"PORTAGE, WI",1
3209,"PORTER, IN",1
3210,"PORTER, OK",1
3211,"PORTERSVILLE, PA",1
3212,"PORTERVILLE, CA",2
3213,"PORTLAND, ME",17
3214,"PORTLAND, OR",143
3215,"PORTLAND, TN",1
3216,"PORTOLA VALLEY, CA",3
3217,"PORTSMOUTH, NH",9
3218,"PORTSMOUTH, VA",3
3219,"POST FALLS, ID",1
3220,"POTOMAC, MD",5
3221,"POUGHKEEPSIE, NY",11
3222,"POULSBO, WA",5
3223,"POWAY, CA",5
3224,"POWDERLY, KY",1
3225,"POWELL, OH",4
3226,"PRAIRIE CITY, OR",1
3227,"PRAIRIE DU SAC, WI",1
3228,"PRAIRIE VILLAGE, KS",3
3229,"PRATTVILLE, AL",5
3230,"PRESCOTT VALLEY, AZ",1
3231,"PRESCOTT, AZ",5
3232,"PRICE, UT",3
3233,"PRINCE FREDERICK, MD",2
3234,"PRINCE GEORGE, VA",1
3235,"PRINCETON, KY",1
3236,"PRINCETON, NJ",9
3237,"PRINCEVILLE, HI",3
3238,"PRIOR LAKE, MN",1
3239,"PROSSER, WA",2
3240,"PROVIDENCE, RI",39
3241,"PROVIDENCE, UT",1
3242,"PROVO, UT",8
3243,"PUEBLO WEST, CO",3
3244,"PUEBLO, CO",11
3245,"PUKALANI, HI",2
3246,"PULASKI, TN",1
3247,"PULLMAN, WA",7
3248,"PURCELL, OK",1
3249,"PURCELLVILLE, VA",1
3250,"PUYALLUP, WA",10
3251,"QUAKERTOWN, PA",3
3252,"QUARTZSITE, AZ",1
3253,"QUECHEE, VT",4
3254,"QUEEN CREEK, AZ",1
3255,"QUEENS, NY",10
3256,"QUEENSTOWN, MD",1
3257,"QUINCY, CA",1
3258,"QUINCY, IL",5
3259,"QUINCY, MA",10
3260,"QUINCY, WA",2
3261,"RACINE, WI",1
3262,"RADCLIFF, KY",1
3263,"RADFORD, VA",1
3264,"RAEFORD, NC",1
3265,"RAHWAY, NJ",3
3266,"RAINIER, OR",1
3267,"RALEIGH, NC",81
3268,"RAMONA, CA",3
3269,"RAMSEY, MN",1
3270,"RAMSEY, NJ",2
3271,"RANCHO CORDOVA, CA",5
3272,"RANCHO CUCAMONGA, CA",23
3273,"RANCHO MIRAGE, CA",9
3274,"RANCHO MURIETA, CA",1
3275,"RANCHO PALOS VERDES, CA",2
3276,"RANCHO SANTA FE, CA",2
3277,"RANCHO SANTA MARGARITA, CA",1
3278,"RANCHOS DE TAOS, NM",1
3279,"RANDALLSTOWN, MD",2
3280,"RANDOLPH, MA",2
3281,"RANKIN, PA",1
3282,"RAPID CITY, SD",7
3283,"RATON, NM",1
3284,"RAWLINS, WY",1
3285,"RAYMOND, OH",2
3286,"RAYMORE, MO",2
3287,"RAYTOWN, MO",2
3288,"READING, PA",4
3289,"RED BANK, NJ",5
3290,"RED BLUFF, CA",3
3291,"RED LODGE, MT",2
3292,"RED WING, MN",3
3293,"REDDING, CA",9
3294,"REDINGTON SHORES, FL",2
3295,"REDLANDS, CA",9
3296,"REDMOND, OR",5
3297,"REDMOND, WA",19
3298,"REDONDO BEACH, CA",8
3299,"REDWOOD CITY, CA",65
3300,"REEDLEY, CA",3
3301,"REEDSBURG, WI",1
3302,"REEDSPORT, OR",3
3303,"REEDSVILLE, PA",1
3304,"REHOBOTH BEACH, DE",9
3305,"REIDSVILLE, NC",1
3306,"RENO, NV",50
3307,"RENSSELAER, NY",5
3308,"RENTON, WA",30
3309,"REPUBLIC, WA",1
3310,"RESTON, VA",23
3311,"REVERE, MA",4
3312,"REYNOLDSBURG, OH",4
3313,"RHINELANDER, WI",2
3314,"RIALTO, CA",3
3315,"RICH HILL, MO",2
3316,"RICHARDSON, TX",5
3317,"RICHFIELD, MN",1
3318,"RICHFIELD, PA",1
3319,"RICHFIELD, UT",5
3320,"RICHLAND CENTER, WI",1
3321,"RICHLAND, MO",1
3322,"RICHLAND, WA",6
3323,"RICHMOND HEIGHTS, MO",1
3324,"RICHMOND HEIGHTS, OH",2
3325,"RICHMOND HILL, GA",1
