,city_ascii,state_id,state_name,lat,lng,population,Density(km^2),Unique City,Land Area (sq km),No. of Charge Stations,No. of McDonald's,No. of Starbucks
244,BOULDER,CO,Colorado,40.0249,-105.2523,124345,1551.0,"BOULDER, CO",84,89,3,15
245,REDDING,CA,California,40.5698,-122.365,121313,599.0,"REDDING, CA",184,9,5,12
246,ST. GEORGE,UT,Utah,37.077,-113.57700000000001,120899,449.0,"ST. GEORGE, UT",116,6,4,8
247,BILLINGS,MT,Montana,45.7891,-108.5524,120728,948.0,"BILLINGS, MT",137,4,9,5
248,YUBA CITY,CA,California,39.1357,-121.6381,120456,1736.0,"YUBA CITY, CA",100,4,5,6
249,ROCHESTER,MN,Minnesota,44.0151,-92.4778,119942,831.0,"ROCHESTER, MN",131,14,6,5
250,LEOMINSTER,MA,Massachusetts,42.5209,-71.7717,119690,558.0,"LEOMINSTER, MA",168,5,5,2
251,KINGSPORT,TN,Tennessee,36.5224,-82.5453,119666,397.0,"KINGSPORT, TN",294,4,7,2
252,DULUTH,MN,Minnesota,46.7756,-92.1392,119476,461.0,"DULUTH, MN",182,13,7,4
253,ROCK HILL,SC,South Carolina,34.9416,-81.0244,119105,750.0,"ROCK HILL, SC",247,11,6,9
254,GILROY,CA,California,37.0047,-121.5855,118993,1378.0,"GILROY, CA",117,7,5,9
255,TEXAS CITY,TX,Texas,29.4128,-94.9658,118169,300.0,"TEXAS CITY, TX",196,2,5,4
256,IOWA CITY,IA,Iowa,41.6559,-91.5303,118041,1133.0,"IOWA CITY, IA",118,14,6,7
257,SAGINAW,MI,Michigan,43.4199,-83.9501,117958,1087.0,"SAGINAW, MI",184,1,8,4
258,CHICO,CA,California,39.7575,-121.8152,117668,1191.0,"CHICO, CA",89,11,4,7
259,DOVER,DE,Delaware,39.161,-75.5203,117282,622.0,"DOVER, DE",191,6,6,3
260,NORMAN,OK,Oklahoma,35.2335,-97.3471,116973,269.0,"NORMAN, OK",116,14,10,8
261,SEASIDE,CA,California,36.6224,-121.8191,116720,1410.0,"SEASIDE, CA",100,11,3,18
262,ABILENE,TX,Texas,32.4543,-99.7384,116412,446.0,"ABILENE, TX",141,3,4,5
263,BLOOMINGTON,IN,Indiana,39.1637,-86.5257,115884,1424.0,"BLOOMINGTON, IN",116,6,4,8
264,ST. CLOUD,MN,Minnesota,45.5339,-94.1718,115028,660.0,"ST. CLOUD, MN",130,2,7,4
265,MONROE,LA,Louisiana,32.5183,-92.0774,112891,623.0,"MONROE, LA",212,3,8,3
266,UTICA,NY,New York,43.0961,-75.226,112650,1376.0,"UTICA, NY",161,4,5,1
267,WATERLOO,IA,Iowa,42.492,-92.3522,111631,423.0,"WATERLOO, IA",161,4,5,1
268,EL CENTRO,CA,California,32.7867,-115.5586,111425,1478.0,"EL CENTRO, CA",77,3,3,6
269,SANTA FE,NM,New Mexico,35.6619,-105.9819,111269,625.0,"SANTA FE, NM",137,37,5,11
270,BEND,OR,Oregon,44.0562,-121.3087,109802,1171.0,"BEND, OR",102,25,5,10
271,BURLINGTON,VT,Vermont,44.4877,-73.2314,109763,1604.0,"BURLINGTON, VT",159,19,5,6
272,JACKSONVILLE,NC,North Carolina,34.7288,-77.3941,108856,574.0,"JACKSONVILLE, NC",184,3,6,6
273,EAU CLAIRE,WI,Wisconsin,44.8199,-91.4949,107404,812.0,"EAU CLAIRE, WI",178,5,5,3
274,TURLOCK,CA,California,37.5053,-120.8588,107317,1679.0,"TURLOCK, CA",66,10,4,7
275,TEMPLE,TX,Texas,31.1076,-97.3894,107258,429.0,"TEMPLE, TX",140,1,9,6
276,SIOUX CITY,IA,Iowa,42.4959,-96.3901,106455,545.0,"SIOUX CITY, IA",140,3,9,4
277,SALISBURY,MD,Maryland,38.3756,-75.5867,106447,927.0,"SALISBURY, MD",183,8,5,3
278,MANTECA,CA,California,37.7927,-121.2264,103420,1498.0,"MANTECA, CA",56,5,6,9
279,LONGMONT,CO,Colorado,40.1686,-105.1005,102474,1306.0,"LONGMONT, CO",67,34,4,9
280,LOGAN,UT,Utah,41.74,-111.8419,101616,1126.0,"LOGAN, UT",113,14,2,3
281,PRESCOTT VALLEY,AZ,Arizona,34.5983,-112.3176,101539,439.0,"PRESCOTT VALLEY, AZ",132,1,1,3
282,VACAVILLE,CA,California,38.359,-121.96799999999999,101444,1330.0,"VACAVILLE, CA",71,22,6,10
283,SAN ANGELO,TX,Texas,31.4424,-100.4506,100773,653.0,"SAN ANGELO, TX",120,1,3,5
284,LA CROSSE,WI,Wisconsin,43.824,-91.2268,100693,911.0,"LA CROSSE, WI",132,6,3,1
285,IDAHO FALLS,ID,Idaho,43.4872,-112.0362,100442,1011.0,"IDAHO FALLS, ID",115,5,6,5
286,HOLLAND,MI,Michigan,42.7677,-86.0985,100432,768.0,"HOLLAND, MI",153,11,6,4
287,CHARLOTTESVILLE,VA,Virginia,38.0375,-78.4855,100416,1781.0,"CHARLOTTESVILLE, VA",89,19,5,10
288,LONGVIEW,TX,Texas,32.5193,-94.7621,100330,565.0,"LONGVIEW, TX",215,3,7,2
289,TRACY,CA,California,37.7269,-121.4522,100049,1412.0,"TRACY, CA",57,5,5,6
290,LAFAYETTE,CO,Colorado,39.9949,-105.0997,99645,1257.0,"LAFAYETTE, CO",102,9,4,14
291,WICHITA FALLS,TX,Texas,33.9072,-98.5291,99557,561.0,"WICHITA FALLS, TX",130,2,6,2
292,LAWRENCE,KS,Kansas,38.9597,-95.2641,98648,1110.0,"LAWRENCE, KS",78,4,0,7
293,BISMARCK,ND,North Dakota,46.8144,-100.7694,98345,827.0,"BISMARCK, ND",100,4,5,5
294,MANDEVILLE,LA,Louisiana,30.3751,-90.0904,95968,676.0,"MANDEVILLE, LA",169,2,4,3
295,BOWLING GREEN,KY,Kentucky,36.9719,-86.4373,95135,690.0,"BOWLING GREEN, KY",117,8,8,5
296,DOVER,NH,New Hampshire,43.1887,-70.8845,94563,464.0,"DOVER, NH",172,2,1,2
297,HANFORD,CA,California,36.3274,-119.6549,94028,1280.0,"HANFORD, CA",71,13,5,6
298,VINELAND,NJ,New Jersey,39.4653,-74.9981,93239,335.0,"VINELAND, NJ",160,1,5,2
299,FLORENCE,SC,South Carolina,34.1781,-79.7877,93131,657.0,"FLORENCE, SC",184,9,8,4
300,PORTSMOUTH,NH,New Hampshire,43.058,-70.7826,93069,540.0,"PORTSMOUTH, NH",240,9,4,5
301,SLIDELL,LA,Louisiana,30.2881,-89.7826,93040,695.0,"SLIDELL, LA",151,4,6,4
302,MISSOULA,MT,Montana,46.875,-114.0214,92895,845.0,"MISSOULA, MT",117,7,4,7
303,AUBURN,AL,Alabama,32.6087,-85.4899,92777,425.0,"AUBURN, AL",129,9,5,5
304,RAPID CITY,SD,South Dakota,44.0716,-103.2204,92664,546.0,"RAPID CITY, SD",109,7,5,8
305,LEE'S SUMMIT,MO,Missouri,38.9172,-94.3816,92522,601.0,"LEE'S SUMMIT, MO",107,1,5,5
306,TERRE HAUTE,IN,Indiana,39.4654,-87.3763,92490,677.0,"TERRE HAUTE, IN",138,3,5,4
307,BLACKSBURG,VA,Virginia,37.23,-80.4279,91888,865.0,"BLACKSBURG, VA",132,9,1,4
308,CONROE,TX,Texas,30.3239,-95.4825,91079,488.0,"CONROE, TX",345,10,12,13
309,LIVERMORE,CA,California,37.6862,-121.7608,90923,1288.0,"LIVERMORE, CA",63,17,6,26
310,LAWTON,OK,Oklahoma,34.6176,-98.4203,90712,441.0,"LAWTON, OK",114,1,5,1
311,ALBANY,GA,Georgia,31.5776,-84.1762,89217,505.0,"ALBANY, GA",183,3,5,4
312,STATE COLLEGE,PA,Pennsylvania,40.7909,-77.8568,87723,3572.0,"STATE COLLEGE, PA",74,14,4,5
313,DECATUR,IL,Illinois,39.8556,-88.9337,87236,645.0,"DECATUR, IL",153,3,6,2
314,JACKSON,MI,Michigan,42.2431,-84.4037,87110,1153.0,"JACKSON, MI",149,9,7,2
315,DALTON,GA,Georgia,34.769,-84.9712,86628,632.0,"DALTON, GA",209,2,3,2
316,ANDERSON,IN,Indiana,40.0891,-85.6893,85992,508.0,"ANDERSON, IN",171,1,6,1
317,NAPA,CA,California,38.2976,-122.3011,85239,1679.0,"NAPA, CA",66,55,2,8
318,MADERA,CA,California,36.9631,-120.0782,84086,1557.0,"MADERA, CA",58,10,10,15
319,JOPLIN,MO,Missouri,37.0758,-94.5018,84048,515.0,"JOPLIN, MO",166,10,7,4
320,PORT HURON,MI,Michigan,42.9822,-82.4387,82970,1369.0,"PORT HURON, MI",156,2,7,2
321,SPRINGFIELD,OH,Ohio,39.9297,-83.7957,82820,883.0,"SPRINGFIELD, OH",126,2,5,1
322,ZEPHYRHILLS,FL,Florida,28.2408,-82.1796,82476,670.0,"ZEPHYRHILLS, FL",112,5,4,1
323,ST. AUGUSTINE,FL,Florida,29.8977,-81.31,82180,629.0,"ST. AUGUSTINE, FL",111,14,4,4
324,FLAGSTAFF,AZ,Arizona,35.1872,-111.6195,81974,438.0,"FLAGSTAFF, AZ",90,18,3,11
325,NEWARK,OH,Ohio,40.0705,-82.4251,80451,930.0,"NEWARK, OH",109,4,5,3
326,WILLIAMSBURG,VA,Virginia,37.2692,-76.7076,80441,645.0,"WILLIAMSBURG, VA",144,17,4,8
327,HATTIESBURG,MS,Mississippi,31.3074,-89.31700000000001,80138,331.0,"HATTIESBURG, MS",178,4,7,3
328,ALEXANDRIA,LA,Louisiana,31.2923,-92.4702,80129,625.0,"ALEXANDRIA, LA",169,4,6,4
329,FLORENCE,AL,Alabama,34.8303,-87.6654,79964,594.0,"FLORENCE, AL",160,4,5,1
330,VALDOSTA,GA,Georgia,30.8502,-83.2788,79820,606.0,"VALDOSTA, GA",144,9,0,3
331,CHEYENNE,WY,Wyoming,41.1351,-104.79,79484,771.0,"CHEYENNE, WY",91,4,5,7
332,KOKOMO,IN,Indiana,40.464,-86.1277,79351,610.0,"KOKOMO, IN",93,1,5,2
333,ST. JOSEPH,MO,Missouri,39.7599,-94.821,79161,656.0,"ST. JOSEPH, MO",108,2,6,4
334,ALTON,IL,Illinois,38.9034,-90.1523,78905,652.0,"ALTON, IL",141,3,4,5
335,ANDERSON,SC,South Carolina,34.5211,-82.6479,78512,736.0,"ANDERSON, SC",191,3,7,4
336,LEBANON,PA,Pennsylvania,40.3412,-76.4227,78302,2397.0,"LEBANON, PA",116,1,5,1
337,ELIZABETHTOWN,KY,Kentucky,37.703,-85.87700000000001,78002,437.0,"ELIZABETHTOWN, KY",147,4,4,3
338,TEXARKANA,TX,Texas,33.4487,-94.0815,77964,482.0,"TEXARKANA, TX",166,1,6,2
339,KANKAKEE,IL,Illinois,41.1019,-87.8643,77429,668.0,"KANKAKEE, IL",96,2,5,3
340,WATSONVILLE,CA,California,36.9206,-121.7706,77352,3109.0,"WATSONVILLE, CA",59,10,3,5
341,PORTERVILLE,CA,California,36.0644,-119.0338,77318,1236.0,"PORTERVILLE, CA",53,2,2,4
342,DAVIS,CA,California,38.5552,-121.7365,76997,2710.0,"DAVIS, CA",36,30,1,8
343,CAMARILLO,CA,California,34.223,-119.0322,76931,1371.0,"CAMARILLO, CA",57,15,10,17
344,BATTLE CREEK,MI,Michigan,42.2986,-85.2296,76514,463.0,"BATTLE CREEK, MI",137,4,7,1
345,JONESBORO,AR,Arkansas,35.8212,-90.6791,76247,377.0,"JONESBORO, AR",121,2,6,3
346,SAN MARCOS,TX,Texas,29.8736,-97.9381,76218,732.0,"SAN MARCOS, TX",68,7,4,4
347,LAKE JACKSON,TX,Texas,29.0516,-95.4522,75860,532.0,"LAKE JACKSON, TX",108,3,4,2
348,OSHKOSH,WI,Wisconsin,44.0228,-88.5619,75536,958.0,"OSHKOSH, WI",79,7,3,3
349,WHEELING,WV,West Virginia,40.0752,-80.6951,75392,740.0,"WHEELING, WV",121,1,5,2
350,CONWAY,AR,Arkansas,35.0754,-92.4694,74951,567.0,"CONWAY, AR",102,7,4,6
351,ALTOONA,PA,Pennsylvania,40.5082,-78.4007,74829,1710.0,"ALTOONA, PA",96,4,6,3
352,LODI,CA,California,38.1218,-121.2932,74773,1913.0,"LODI, CA",41,14,3,7
353,WALDORF,MD,Maryland,38.6085,-76.9195,74587,794.0,"WALDORF, MD",176,8,5,7
354,WINCHESTER,VA,Virginia,39.1735,-78.1746,74417,1179.0,"WINCHESTER, VA",96,5,8,5
355,HILTON HEAD ISLAND,SC,South Carolina,32.1896,-80.7499,74139,372.0,"HILTON HEAD ISLAND, SC",175,17,4,10
356,JACKSON,TN,Tennessee,35.6535,-88.8353,74065,444.0,"JACKSON, TN",132,6,5,4
357,CLEVELAND,TN,Tennessee,35.1817,-84.8707,73596,648.0,"CLEVELAND, TN",141,1,5,3
358,WAUSAU,WI,Wisconsin,44.961999999999996,-89.6459,73593,774.0,"WAUSAU, WI",121,7,5,3
359,MANSFIELD,OH,Ohio,40.7656,-82.5275,73326,583.0,"MANSFIELD, OH",130,2,6,2
360,POCATELLO,ID,Idaho,42.8724,-112.4646,72878,657.0,"POCATELLO, ID",80,2,3,3
361,MORGANTOWN,WV,West Virginia,39.638000000000005,-79.9468,72458,1181.0,"MORGANTOWN, WV",97,6,7,6
362,HAMMOND,LA,Louisiana,30.5061,-90.4563,72413,589.0,"HAMMOND, LA",198,3,5,2
363,DOTHAN,AL,Alabama,31.2335,-85.4069,72396,296.0,"DOTHAN, AL",143,2,7,3
364,HARRISONBURG,VA,Virginia,38.4361,-78.8735,72386,1180.0,"HARRISONBURG, VA",84,12,4,6
365,WENATCHEE,WA,Washington,47.4356,-120.3283,72350,1312.0,"WENATCHEE, WA",81,15,2,6
366,SUMTER,SC,South Carolina,33.9392,-80.393,71518,469.0,"SUMTER, SC",170,1,5,1
367,DAPHNE,AL,Alabama,30.6286,-87.8866,71484,603.0,"DAPHNE, AL",143,3,2,3
368,MOUNT VERNON,WA,Washington,48.4202,-122.3115,71422,1130.0,"MOUNT VERNON, WA",89,4,0,8
369,JANESVILLE,WI,Wisconsin,42.6855,-89.0136,70755,732.0,"JANESVILLE, WI",79,3,4,2
370,SHERMAN,TX,Texas,33.6274,-96.6218,70704,372.0,"SHERMAN, TX",93,3,2,5
371,BRISTOL,TN,Tennessee,36.5572,-82.2154,70243,318.0,"BRISTOL, TN",165,3,4,1
372,WEST BEND,WI,Wisconsin,43.4184,-88.1824,69504,804.0,"WEST BEND, WI",99,2,2,3
373,SHEBOYGAN,WI,Wisconsin,43.7403,-87.7316,69393,1184.0,"SHEBOYGAN, WI",86,6,5,3
374,LOS LUNAS,NM,New Mexico,34.8115,-106.7803,69020,331.0,"LOS LUNAS, NM",179,2,5,2
375,LIMA,OH,Ohio,40.741,-84.1121,68878,1045.0,"LIMA, OH",135,7,6,1
376,DECATUR,AL,Alabama,34.573,-86.9906,68867,388.0,"DECATUR, AL",151,3,4,2
377,HANOVER,PA,Pennsylvania,39.8117,-76.9835,68165,1641.0,"HANOVER, PA",93,1,4,3
378,DUBUQUE,IA,Iowa,42.5008,-90.7067,68109,729.0,"DUBUQUE, IA",87,7,4,2
379,VICTORIA,TX,Texas,28.8285,-96.985,68078,694.0,"VICTORIA, TX",75,3,4,1
380,SARATOGA SPRINGS,NY,New York,43.0674,-73.7775,68028,388.0,"SARATOGA SPRINGS, NY",117,37,2,3
381,AMES,IA,Iowa,42.0259,-93.6215,67910,935.0,"AMES, IA",60,5,2,6
382,CASPER,WY,Wyoming,42.842,-106.3207,67598,843.0,"CASPER, WY",78,1,3,5
383,CORVALLIS,OR,Oregon,44.5697,-123.27799999999999,67467,1592.0,"CORVALLIS, OR",54,17,2,5
384,LONGVIEW,WA,Washington,46.1461,-122.9629,67081,1000.0,"LONGVIEW, WA",85,2,3,9
385,DEKALB,IL,Illinois,41.9313,-88.7482,66959,1025.0,"DEKALB, IL",66,1,4,4
386,PETALUMA,CA,California,38.2423,-122.6267,66929,1620.0,"PETALUMA, CA",55,16,2,8
387,BAY CITY,MI,Michigan,43.5903,-83.8886,66107,1242.0,"BAY CITY, MI",104,2,9,1
388,CARBONDALE,IL,Illinois,37.7221,-89.2238,65671,556.0,"CARBONDALE, IL",126,1,2,2
389,GREAT FALLS,MT,Montana,47.5022,-111.2995,65131,982.0,"GREAT FALLS, MT",80,4,3,4
390,MICHIGAN CITY,IN,Indiana,41.7099,-86.8705,65058,608.0,"MICHIGAN CITY, IN",100,2,3,2
391,GRAND FORKS,ND,North Dakota,47.9218,-97.0886,64748,784.0,"GRAND FORKS, ND",63,4,3,3
392,ROCKY MOUNT,NC,North Carolina,35.9676,-77.8048,64018,471.0,"ROCKY MOUNT, NC",119,6,5,2
393,BELOIT,WI,Wisconsin,42.523,-89.0184,63762,822.0,"BELOIT, WI",89,1,7,1
394,GLENS FALLS,NY,New York,43.3109,-73.6459,63499,1430.0,"GLENS FALLS, NY",107,13,5,2
395,JOHNSTOWN,PA,Pennsylvania,40.3258,-78.9193,63141,1257.0,"JOHNSTOWN, PA",100,2,6,1
396,ELMIRA,NY,New York,42.0938,-76.8097,62989,1440.0,"ELMIRA, NY",97,3,4,1
397,MANKATO,MN,Minnesota,44.1712,-93.9773,62889,868.0,"MANKATO, MN",68,9,3,1
398,ALBANY,OR,Oregon,44.6274,-123.0966,62880,1218.0,"ALBANY, OR",62,5,2,4
399,PARKERSBURG,WV,West Virginia,39.2624,-81.542,62566,961.0,"PARKERSBURG, WV",109,3,5,1
400,SAN LUIS OBISPO,CA,California,35.2669,-120.6691,62290,1374.0,"SAN LUIS OBISPO, CA",52,21,1,10
401,SEBRING,FL,Florida,27.476999999999997,-81.453,62250,404.0,"SEBRING, FL",119,10,3,1
402,CASA GRANDE,AZ,Arizona,32.9068,-111.7624,61966,204.0,"CASA GRANDE, AZ",57,3,3,2
403,ROME,GA,Georgia,34.2661,-85.1862,61537,449.0,"ROME, GA",123,5,3,1
404,MORRISTOWN,TN,Tennessee,36.2046,-83.3006,61171,426.0,"MORRISTOWN, TN",155,1,4,1
405,GADSDEN,AL,Alabama,34.009,-86.0156,60944,362.0,"GADSDEN, AL",186,2,4,2
406,HOT SPRINGS,AR,Arkansas,34.4892,-93.0501,60767,400.0,"HOT SPRINGS, AR",116,3,7,1
407,WOODLAND,CA,California,38.6712,-121.75,60598,1527.0,"WOODLAND, CA",31,17,2,4
408,COLUMBUS,IN,Indiana,39.2093,-85.9183,59897,660.0,"COLUMBUS, IN",70,2,4,5
409,BANGOR,ME,Maine,44.8322,-68.7906,59772,363.0,"BANGOR, ME",110,3,5,2
410,STAUNTON,VA,Virginia,38.1593,-79.0611,59433,483.0,"STAUNTON, VA",98,7,3,1
411,BENTON HARBOR,MI,Michigan,42.1159,-86.4488,59216,858.0,"BENTON HARBOR, MI",120,5,3,1
412,LEWISTON,ME,Maine,44.0915,-70.1681,58802,409.0,"LEWISTON, ME",91,1,3,1
413,CARSON CITY,NV,Nevada,39.1512,-119.7474,58756,149.0,"CARSON CITY, NV",59,8,4,17
414,MIDDLETOWN,NY,New York,41.4459,-74.4236,58592,2048.0,"MIDDLETOWN, NY",81,4,2,2
415,JEFFERSON CITY,MO,Missouri,38.5676,-92.1759,58025,457.0,"JEFFERSON CITY, MO",103,3,6,3
416,BECKLEY,WV,West Virginia,37.7878,-81.1841,57942,647.0,"BECKLEY, WV",157,1,4,2
417,TITUSVILLE,FL,Florida,28.5727,-80.8193,57891,615.0,"TITUSVILLE, FL",77,5,5,2
418,CARTERSVILLE,GA,Georgia,34.1639,-84.8007,57873,289.0,"CARTERSVILLE, GA",131,3,6,5
419,WALLA WALLA,WA,Washington,46.067,-118.3366,57860,926.0,"WALLA WALLA, WA",71,15,2,3
420,EAST STROUDSBURG,PA,Pennsylvania,41.0023,-75.1779,57577,1416.0,"EAST STROUDSBURG, PA",134,1,3,4
421,GOLDSBORO,NC,North Carolina,35.3778,-77.972,57278,462.0,"GOLDSBORO, NC",137,3,5,3
422,MANHATTAN,KS,Kansas,39.1886,-96.6046,57046,1062.0,"MANHATTAN, KS",53,6,2,4
423,LAKE HAVASU CITY,AZ,Arizona,34.5006,-114.3113,56820,465.0,"LAKE HAVASU CITY, AZ",76,2,1,5
424,CAPE GIRARDEAU,MO,Missouri,37.3108,-89.5597,56551,538.0,"CAPE GIRARDEAU, MO",90,2,2,3
425,GRANTS PASS,OR,Oregon,42.4333,-123.3317,55837,1279.0,"GRANTS PASS, OR",70,7,4,4
426,PITTSFIELD,MA,Massachusetts,42.4517,-73.2605,55697,402.0,"PITTSFIELD, MA",86,4,2,2
427,FOND DU LAC,WI,Wisconsin,43.7718,-88.4396,55209,869.0,"FOND DU LAC, WI",74,2,3,3
428,ITHACA,NY,New York,42.4442,-76.5032,55137,2209.0,"ITHACA, NY",63,25,2,3
429,DELANO,CA,California,35.766999999999996,-119.2637,54917,1448.0,"DELANO, CA",25,3,2,2
430,KINGSTON,NY,New York,41.9295,-73.9968,54791,1176.0,"KINGSTON, NY",110,23,3,3
431,ARROYO GRANDE,CA,California,35.1241,-120.5845,54177,1168.0,"ARROYO GRANDE, CA",59,4,4,0
432,BRUNSWICK,GA,Georgia,31.145,-81.47399999999999,53914,367.0,"BRUNSWICK, GA",112,11,6,5
433,WILLIAMSPORT,PA,Pennsylvania,41.2398,-77.0371,53861,1246.0,"WILLIAMSPORT, PA",68,1,3,1
434,LEWISTON,ID,Idaho,46.3934,-116.9934,53384,731.0,"LEWISTON, ID",73,1,3,2
435,GRAND ISLAND,NE,Nebraska,40.9214,-98.3584,53296,665.0,"GRAND ISLAND, NE",72,2,2,1
436,WATERTOWN,NY,New York,43.9734,-75.9094,53163,1061.0,"WATERTOWN, NY",106,10,2,2
437,CHAMBERSBURG,PA,Pennsylvania,39.9315,-77.6556,53083,1178.0,"CHAMBERSBURG, PA",96,3,3,3
438,LOMPOC,CA,California,34.6618,-120.4714,52020,1423.0,"LOMPOC, CA",27,4,2,3
439,SIERRA VISTA,AZ,Arizona,31.563000000000002,-110.3153,51731,109.0,"SIERRA VISTA, AZ",78,3,3,4
440,FARMINGTON,NM,New Mexico,36.7555,-108.1823,51309,497.0,"FARMINGTON, NM",90,6,0,4
441,NEW BERN,NC,North Carolina,35.0955,-77.0723,51308,409.0,"NEW BERN, NC",112,5,4,3
442,HINESVILLE,GA,Georgia,31.8247,-81.6135,51206,707.0,"HINESVILLE, GA",80,1,3,2
443,BLOOMSBURG,PA,Pennsylvania,41.0027,-76.4561,49840,1226.0,"BLOOMSBURG, PA",84,4,3,3
444,PASCAGOULA,MS,Mississippi,30.3665,-88.5507,48869,544.0,"PASCAGOULA, MS",102,1,2,1
445,MONROE,MI,Michigan,41.9154,-83.385,48317,834.0,"MONROE, MI",83,3,4,1
446,CUMBERLAND,MD,Maryland,39.6515,-78.7585,47980,740.0,"CUMBERLAND, MD",84,4,7,1
447,DANVILLE,IL,Illinois,40.1423,-87.6114,47059,654.0,"DANVILLE, IL",77,1,3,1
448,PINE BLUFF,AR,Arkansas,34.2116,-92.0178,45204,365.0,"PINE BLUFF, AR",96,1,4,1
449,KAHULUI,HI,Hawaii,20.8715,-156.4603,32312,867.0,"KAHULUI, HI",43,17,6,10
450,FORT WALTON BEACH,FL,Florida,30.4249,-86.6194,22521,1136.0,"FORT WALTON BEACH, FL",312,7,0,5
451,WESTMINSTER,MD,Maryland,39.5796,-77.0066,18640,1077.0,"WESTMINSTER, MD",149,4,2,2
452,LADY LAKE,FL,Florida,28.9241,-81.9299,16020,747.0,"LADY LAKE, FL",184,2,4,4
453,ABERDEEN,MD,Maryland,39.5146,-76.173,16019,954.0,"ABERDEEN, MD",339,6,4,1
